Isolates,Level 1,Level 2
11658_4#13,11,32
11658_4#14,8,22
11658_4#15,19,62
11658_4#16,19,64
11658_4#17,12,35
11658_4#18,24,86
11658_4#19,20,70
11658_4#2,17,52
11658_4#20,19,62
11658_4#21,2,4
11658_4#22,24,87
11658_4#23,2,6
11658_4#24,19,60
11658_4#25,19,60
11658_4#26,2,4
11658_4#27,1,2
11658_4#28,1,2
11658_4#29,20,70
11658_4#3,3,10
11658_4#30,7,20
11658_4#31,20,68
11658_4#32,16,50
11658_4#33,2,4
11658_4#34,19,60
11658_4#35,7,20
11658_4#36,20,69
11658_4#37,19,64
11658_4#38,17,52
11658_4#39,16,50
11658_4#4,4,13
11658_4#40,20,70
11658_4#41,20,67
11658_4#42,13,39
11658_4#43,24,88
11658_4#44,19,60
11658_4#45,20,68
11658_4#46,7,20
11658_4#47,1,3
11658_4#48,24,88
11658_4#49,19,63
11658_4#5,19,59
11658_4#50,20,70
11658_4#51,14,43
11658_4#52,5,16
11658_4#53,20,68
11658_4#54,20,68
11658_4#55,21,76
11658_4#56,2,6
11658_4#57,24,88
11658_4#58,19,64
11658_4#59,20,70
11658_4#6,21,76
11658_4#60,24,88
11658_4#61,24,86
11658_4#62,19,64
11658_4#63,9,24
11658_4#64,19,64
11658_4#65,24,86
11658_4#66,24,86
11658_4#67,9,25
11658_4#68,22,81
11658_4#69,19,62
11658_4#7,24,88
11658_4#70,3,8
11658_4#71,13,39
11658_4#72,10,28
11658_4#73,12,34
11658_4#74,24,86
11658_4#75,15,44
11658_4#76,4,13
11658_4#77,24,86
11658_4#78,1,2
11658_4#79,20,70
11658_4#8,20,70
11658_4#80,24,86
11658_4#81,24,86
11658_4#82,18,57
11658_4#83,15,46
11658_4#84,14,42
11658_4#85,24,86
11658_4#86,8,22
11658_4#87,10,29
11658_4#88,11,32
11658_4#89,21,73
11658_4#9,2,6
11658_4#90,20,68
11658_4#91,19,62
11658_4#92,7,20
11658_4#93,1,3
11658_4#94,12,34
11658_4#95,20,70
11658_4#96,20,70
11658_5#1,1,2
11658_5#10,3,8
11658_5#11,24,86
11658_5#12,20,68
11658_5#13,3,10
11658_5#14,24,86
11658_5#15,20,70
11658_5#16,20,70
11658_5#17,16,50
11658_5#18,1,2
11658_5#19,24,86
11658_5#2,24,86
11658_5#20,20,70
11658_5#21,17,52
11658_5#22,7,20
11658_5#23,20,70
11658_5#25,15,44
11658_5#26,24,86
11658_5#27,20,70
11658_5#28,24,86
11658_5#29,20,68
11658_5#3,22,81
11658_5#30,19,60
11658_5#31,18,54
11658_5#32,24,86
11658_5#33,19,61
11658_5#34,15,45
11658_5#35,6,17
11658_5#36,20,68
11658_5#37,21,73
11658_5#38,7,20
11658_5#4,10,29
11658_5#40,13,39
11658_5#41,24,86
11658_5#42,24,87
11658_5#43,14,43
11658_5#44,24,86
11658_5#45,2,6
11658_5#46,18,55
11658_5#47,19,64
11658_5#49,3,10
11658_5#5,24,86
11658_5#50,24,87
11658_5#51,17,52
11658_5#52,10,28
11658_5#53,24,88
11658_5#54,21,74
11658_5#55,17,52
11658_5#56,3,10
11658_5#57,24,88
11658_5#58,21,73
11658_5#59,15,46
11658_5#6,19,60
11658_5#60,17,52
11658_5#61,19,63
11658_5#62,18,53
11658_5#63,2,5
11658_5#64,4,13
11658_5#65,23,83
11658_5#66,24,86
11658_5#67,18,55
11658_5#68,20,70
11658_5#69,17,52
11658_5#7,18,57
11658_5#70,6,18
11658_5#71,16,49
11658_5#72,19,59
11658_5#73,20,70
11658_5#74,18,55
11658_5#75,19,62
11658_5#76,20,67
11658_5#77,7,20
11658_5#78,5,16
11658_5#79,20,67
11658_5#8,12,35
11658_5#80,3,10
11658_5#81,15,46
11658_5#82,20,70
11658_5#83,18,55
11658_5#84,19,63
11658_5#85,19,60
11658_5#86,13,38
11658_5#87,24,86
11658_5#88,16,50
11658_5#89,19,62
11658_5#9,13,39
11658_5#90,19,64
11658_5#91,19,62
11658_5#92,9,24
11658_5#93,3,10
11658_5#94,3,10
11658_5#95,14,43
11658_5#96,18,53
11658_6#1,19,60
11658_6#10,24,86
11658_6#11,13,39
11658_6#12,8,22
11658_6#13,24,86
11658_6#14,4,11
11658_6#15,5,15
11658_6#16,13,39
11658_6#17,3,10
11658_6#18,6,17
11658_6#19,3,10
11658_6#2,20,69
11658_6#20,16,50
11658_6#21,16,50
11658_6#22,24,87
11658_6#23,3,10
11658_6#24,9,25
11658_6#25,20,67
11658_6#26,19,60
11658_6#27,18,54
11658_6#28,17,52
11658_6#29,23,85
11658_6#3,17,52
11658_6#30,21,78
11658_6#31,23,85
11658_6#32,3,10
11658_6#33,20,70
11658_6#34,24,86
11658_6#35,16,50
11658_6#36,4,13
11658_6#37,6,18
11658_6#38,21,78
11658_6#39,24,86
11658_6#4,20,70
11658_6#40,19,60
11658_6#41,24,86
11658_6#42,3,8
11658_6#43,24,86
11658_6#44,18,57
11658_6#45,18,54
11658_6#47,3,10
11658_6#48,8,22
11658_6#49,5,16
11658_6#5,20,67
11658_6#50,20,68
11658_6#51,20,70
11658_6#52,2,4
11658_6#53,24,87
11658_6#54,20,70
11658_6#55,18,55
11658_6#56,19,58
11658_6#57,20,69
11658_6#58,2,6
11658_6#59,18,55
11658_6#6,6,18
11658_6#60,18,57
11658_6#61,7,20
11658_6#62,20,70
11658_6#63,24,88
11658_6#64,24,86
11658_6#65,20,68
11658_6#66,6,18
11658_6#67,19,59
11658_6#68,16,49
11658_6#69,18,57
11658_6#7,2,6
11658_6#70,7,20
11658_6#71,18,55
11658_6#72,21,78
11658_6#73,24,86
11658_6#74,20,70
11658_6#75,8,21
11658_6#76,13,39
11658_6#77,23,85
11658_6#78,7,20
11658_6#79,23,85
11658_6#8,20,68
11658_6#80,19,60
11658_6#81,24,86
11658_6#82,24,86
11658_6#83,19,60
11658_6#84,15,46
11658_6#85,13,36
11658_6#86,19,64
11658_6#87,4,12
11658_6#88,24,86
11658_6#89,20,70
11658_6#9,20,70
11658_6#90,20,70
11658_6#91,24,86
11658_6#92,24,88
11658_6#93,16,50
11658_6#94,20,67
11658_6#95,20,70
11658_6#96,2,6
11658_7#1,19,60
11658_7#10,9,24
11658_7#11,16,50
11658_7#13,10,29
11658_7#14,18,54
11658_7#15,24,86
11658_7#16,24,86
11658_7#17,24,88
11658_7#18,19,64
11658_7#19,20,68
11658_7#2,13,38
11658_7#20,23,84
11658_7#21,6,17
11658_7#22,20,70
11658_7#23,24,86
11658_7#24,11,32
11658_7#25,2,6
11658_7#26,24,86
11658_7#27,19,62
11658_7#28,4,13
11658_7#29,19,61
11658_7#3,3,10
11658_7#30,24,86
11658_7#31,7,20
11658_7#32,2,4
11658_7#33,24,86
11658_7#34,3,8
11658_7#35,20,67
11658_7#36,20,68
11658_7#39,19,63
11658_7#4,9,25
11658_7#40,2,6
11658_7#41,1,2
11658_7#42,19,60
11658_7#43,1,2
11658_7#44,23,85
11658_7#45,11,32
11658_7#46,18,57
11658_7#47,20,68
11658_7#48,19,64
11658_7#49,19,60
11658_7#5,20,70
11658_7#50,20,68
11658_7#51,2,6
11658_7#52,24,86
11658_7#53,22,81
11658_7#54,17,52
11658_7#55,20,70
11658_7#56,17,52
11658_7#57,24,88
11658_7#58,20,67
11658_7#59,13,38
11658_7#6,3,10
11658_7#60,13,39
11658_7#62,20,67
11658_7#63,18,54
11658_7#64,24,86
11658_7#65,24,86
11658_7#66,13,37
11658_7#67,24,86
11658_7#68,19,59
11658_7#69,6,18
11658_7#7,24,86
11658_7#70,19,60
11658_7#71,24,86
11658_7#72,1,2
11658_7#73,19,64
11658_7#74,4,13
11658_7#75,8,22
11658_7#76,3,8
11658_7#77,18,55
11658_7#78,24,86
11658_7#79,16,50
11658_7#8,24,86
11658_7#80,5,16
11658_7#81,19,64
11658_7#82,20,70
11658_7#83,10,29
11658_7#84,19,62
11658_7#85,1,1
11658_7#86,24,86
11658_7#87,20,68
11658_7#88,19,63
11658_7#89,19,62
11658_7#9,20,70
11658_7#90,24,86
11658_7#91,2,4
11658_7#92,20,68
11658_7#93,24,86
11658_7#94,4,13
11658_7#95,20,69
11658_7#96,1,3
11658_8#24,18,53
11658_8#25,23,85
11658_8#26,3,10
11658_8#27,24,86
11658_8#28,20,68
11658_8#29,4,13
11658_8#30,22,81
11658_8#31,20,66
11658_8#32,9,24
11658_8#33,5,14
11658_8#34,20,70
11658_8#35,20,70
11658_8#36,17,52
11658_8#37,19,64
11658_8#38,20,70
11658_8#39,7,20
11658_8#40,23,85
11658_8#41,19,62
11658_8#42,23,83
11658_8#43,20,67
11658_8#44,23,85
11658_8#45,10,26
11658_8#46,19,61
11658_8#47,19,60
11658_8#48,19,58
11658_8#49,23,84
11658_8#50,5,16
11658_8#51,9,24
11658_8#52,5,16
11658_8#53,16,50
11658_8#54,19,64
11658_8#55,24,86
11658_8#56,18,55
11658_8#57,3,10
11658_8#58,21,74
11658_8#59,20,67
11658_8#60,11,32
11658_8#61,20,68
11658_8#62,20,68
11658_8#63,20,70
11658_8#64,24,86
11658_8#65,19,58
11658_8#66,5,16
11658_8#67,5,16
11658_8#68,1,2
11658_8#69,19,60
11658_8#70,12,34
11658_8#71,2,4
11658_8#72,19,64
11658_8#73,19,63
11658_8#74,8,22
11658_8#75,3,10
11658_8#76,20,70
11658_8#77,2,6
11658_8#78,24,86
11658_8#79,7,20
11658_8#80,12,34
11658_8#81,11,32
11658_8#82,10,29
11658_8#83,20,67
11658_8#84,24,86
11658_8#85,24,86
11658_8#86,19,62
11658_8#87,20,67
11658_8#88,23,85
11658_8#89,20,70
11658_8#90,23,83
11658_8#91,19,61
11658_8#92,24,86
11658_8#93,24,86
11658_8#94,5,16
11658_8#95,18,54
11658_8#96,1,2
11679_4#1,22,81
11679_4#10,1,3
11679_4#11,19,64
11679_4#12,20,70
11679_4#13,5,16
11679_4#14,16,48
11679_4#15,19,64
11679_4#16,20,68
11679_4#17,23,85
11679_4#18,16,48
11679_4#19,23,83
11679_4#2,20,70
11679_4#20,9,25
11679_4#21,19,63
11679_4#22,13,39
11679_4#23,7,20
11679_4#24,8,21
11679_4#25,20,68
11679_4#26,20,68
11679_4#27,7,20
11679_4#28,17,52
11679_4#29,19,63
11679_4#3,20,70
11679_4#30,16,48
11679_4#31,21,77
11679_4#32,24,86
11679_4#33,8,22
11679_4#34,22,81
11679_4#35,24,86
