Isolates,Level 1,Level 2
11658_8#54,27,135
11658_8#55,3,18
11658_8#56,25,119
11658_8#57,4,24
11658_8#58,26,124
11658_8#59,28,141
11658_8#60,15,72
11658_8#61,28,143
11658_8#62,28,143
11658_8#63,28,142
11658_8#64,3,19
11658_8#65,27,129
11658_8#66,6,38
11658_8#67,6,38
11658_8#68,1,7
11658_8#69,27,133
11658_8#70,16,74
11658_8#71,2,13
11658_8#72,27,131
11658_8#73,27,128
11658_8#74,10,48
11658_8#75,4,24
11658_8#76,28,142
11658_8#77,2,15
11658_8#78,3,19
11658_8#79,9,46
11658_8#80,16,74
11658_8#81,15,71
11658_8#82,14,68
11658_8#83,28,141
11658_8#84,3,19
11658_8#85,3,19
11658_8#86,27,136
11658_8#87,28,141
11658_8#88,29,154
11658_8#89,28,145
11658_8#90,20,92
11658_8#91,27,134
11658_8#92,3,19
11658_8#93,3,19
11658_8#94,6,38
11658_8#95,25,115
11658_8#96,1,3
11679_4#1,12,53
11679_4#10,1,4
11679_4#11,27,132
11679_4#12,28,142
11679_4#13,6,36
11679_4#14,22,103
11679_4#15,27,132
11679_4#16,28,143
11679_4#17,29,156
11679_4#18,22,103
11679_4#19,20,95
11679_4#2,28,142
11679_4#20,11,51
11679_4#21,27,128
11679_4#22,17,79
11679_4#23,9,46
11679_4#24,10,47
11679_4#25,28,143
11679_4#26,28,143
11679_4#27,9,46
11679_4#28,23,108
11679_4#29,27,128
11679_4#3,28,142
11679_4#30,22,103
11679_4#31,26,122
11679_4#32,3,19
11679_4#33,10,48
11679_4#34,12,55
11679_4#35,3,19
11679_4#36,27,134
11679_4#37,22,106
11679_4#38,28,142
11679_4#39,3,19
11679_4#4,3,19
11679_4#40,3,19
11679_4#41,28,141
11679_4#42,28,142
11679_4#43,23,108
11679_4#44,8,43
11679_4#45,27,133
11679_4#46,25,119
11679_4#47,24,110
11679_4#48,27,133
11679_4#49,28,145
11679_4#5,27,134
11679_4#50,9,46
11679_4#52,3,19
11679_4#53,3,19
11679_4#54,3,20
11679_4#55,28,142
11679_4#56,3,19
11679_4#57,28,143
11679_4#58,18,86
11679_4#59,17,80
11679_4#6,19,91
11679_4#60,27,133
11679_4#61,11,51
11679_4#62,18,86
11679_4#63,27,133
11679_4#64,9,46
11679_4#65,4,22
11679_4#66,3,19
11679_4#67,21,98
11679_4#68,7,40
11679_4#69,28,140
11679_4#7,28,145
11679_4#70,23,108
11679_4#71,28,143
11679_4#72,27,136
11679_4#73,4,26
11679_4#74,7,40
11679_4#75,28,145
11679_4#76,2,17
11679_4#77,27,134
11679_4#78,16,75
11679_4#79,25,118
11679_4#8,3,19
11679_4#80,23,108
11679_4#81,20,95
11679_4#82,28,145
11679_4#83,28,142
11679_4#84,26,123
11679_4#85,28,142
11679_4#86,28,144
11679_4#87,4,24
11679_4#88,27,133
11679_4#89,3,19
11679_4#9,28,142
11679_4#90,27,130
11679_4#91,3,19
11679_4#92,3,19
11679_4#93,21,99
11679_4#94,28,143
11679_4#95,3,20
11679_4#96,28,145
11679_5#1,21,98
11679_5#10,2,17
11679_5#11,28,142
11679_5#12,18,87
11679_5#13,25,115
11679_5#14,23,108
11679_5#15,28,141
11679_5#16,1,7
11679_5#17,28,142
11679_5#18,28,142
11679_5#19,28,143
11679_5#2,3,19
11679_5#20,19,90
11679_5#21,25,117
11679_5#22,10,48
11679_5#23,10,47
11679_5#24,16,74
11679_5#25,7,40
11679_5#26,28,143
11679_5#27,25,119
11679_5#28,25,115
11679_5#29,27,133
11679_5#3,27,136
11679_5#30,1,8
11679_5#31,28,140
11679_5#32,28,142
11679_5#33,3,19
11679_5#34,4,24
11679_5#35,2,17
11679_5#36,17,77
11679_5#37,27,130
11679_5#38,27,127
11679_5#39,27,133
11679_5#4,4,26
11679_5#40,26,123
11679_5#41,19,91
11679_5#42,1,7
11679_5#43,11,50
11679_5#44,3,19
11679_5#45,24,111
11679_5#46,29,156
11679_5#47,28,143
11679_5#48,2,17
11679_5#49,6,36
11679_5#5,28,141
11679_5#50,19,91
11679_5#51,1,8
11679_5#52,4,26
11679_5#53,1,3
11679_5#54,1,8
11679_5#55,27,133
11679_5#56,2,17
11679_5#57,8,44
11679_5#58,4,21
11679_5#59,2,17
11679_5#6,19,91
11679_5#60,23,108
11679_5#61,17,78
11679_5#62,1,8
11679_5#63,16,75
11679_5#64,28,142
11679_5#65,28,145
11679_5#66,4,24
11679_5#67,15,71
11679_5#68,17,77
11679_5#69,10,48
11679_5#7,26,121
11679_5#70,25,118
11679_5#71,19,91
11679_5#72,7,39
11679_5#73,22,106
11679_5#74,16,75
11679_5#75,23,108
11679_5#76,4,24
11679_5#77,18,86
11679_5#78,17,80
11679_5#79,19,88
11679_5#8,29,154
11679_5#80,3,19
11679_5#81,28,142
11679_5#82,28,141
11679_5#83,27,133
11679_5#84,27,134
11679_5#85,10,48
11679_5#86,27,129
11679_5#87,6,38
11679_5#88,23,108
11679_5#89,20,94
11679_5#9,27,133
11679_5#90,18,86
11679_5#91,27,130
11679_5#92,9,46
11679_5#93,4,24
11679_5#94,3,19
11679_5#95,4,24
11679_5#96,27,136
11679_6#1,28,145
11679_6#10,4,24
11679_6#11,25,116
11679_6#12,28,143
11679_6#13,24,111
11679_6#14,22,102
11679_6#15,17,78
11679_6#18,28,142
11679_6#19,13,58
11679_6#2,5,34
11679_6#20,25,116
11679_6#21,14,69
11679_6#22,28,142
11679_6#23,28,142
11679_6#24,13,57
11679_6#25,17,80
11679_6#26,27,130
11679_6#27,27,130
11679_6#28,28,138
11679_6#29,27,132
11679_6#3,27,137
11679_6#30,8,44
11679_6#31,29,156
11679_6#32,28,141
11679_6#33,29,155
11679_6#34,28,142
11679_6#35,11,50
11679_6#36,27,133
11679_6#37,1,3
11679_6#38,28,142
11679_6#39,28,143
11679_6#4,4,24
11679_6#40,27,133
11679_6#41,26,124
11679_6#42,27,133
11679_6#43,28,142
11679_6#44,27,132
11679_6#45,18,86
11679_6#46,6,38
11679_6#47,2,17
11679_6#48,1,6
11679_6#49,18,87
11679_6#5,5,28
11679_6#50,27,135
11679_6#51,16,74
11679_6#52,4,21
11679_6#53,25,115
11679_6#54,27,137
11679_6#55,28,145
11679_6#56,22,106
11679_6#57,5,31
11679_6#58,1,3
11679_6#59,3,19
11679_6#60,27,135
11679_6#61,28,142
11679_6#62,6,37
11679_6#63,22,106
11679_6#64,17,78
11679_6#65,27,133
11679_6#66,14,63
11679_6#67,28,143
11679_6#68,12,53
11679_6#69,27,132
11679_6#7,8,43
11679_6#70,4,26
11679_6#71,2,15
11679_6#72,17,79
11679_6#73,2,13
11679_6#74,27,130
11679_6#75,4,22
11679_6#76,23,108
11679_6#77,23,108
11679_6#78,26,124
11679_6#79,4,26
11679_6#8,25,119
11679_6#80,17,77
11679_6#81,28,142
11679_6#82,4,22
11679_6#83,11,51
11679_6#84,28,141
11679_6#85,28,141
11679_6#86,25,115
11679_6#87,24,111
11679_6#88,23,109
11679_6#89,16,75
11679_6#9,4,26
11679_6#90,4,26
11679_6#91,10,48
11679_6#92,1,7
11679_6#93,3,19
11679_6#94,3,19
