Isolates,Level 1,Level 2
6133_1#5,2,6
6133_1#6,2,6
6133_1#7,5,14
6133_1#8,2,6
6133_1#9,7,17
6133_2#1,3,10
6133_2#11,3,10
6133_2#12,8,19
6133_2#2,9,21
6133_2#3,5,13
6133_2#4,9,21
6133_2#5,2,6
6133_2#6,1,3
6133_2#9,7,18
6133_3#1,3,10
6133_3#10,9,25
6133_3#2,8,19
6133_3#3,2,6
6133_3#4,2,6
6133_3#5,1,3
6133_3#7,2,6
6133_3#8,1,3
6133_3#9,9,22
6236_1#1,7,17
6236_1#10,4,12
6236_1#11,7,17
6236_1#2,9,25
6236_1#3,9,23
6236_1#4,1,3
6236_1#6,3,10
6236_1#7,7,18
6236_1#9,9,23
