Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30 K_31 K_32 K_33 K_34 K_35 K_36 K_37 K_38 K_39 K_40 K_41 K_42 K_43 K_44 K_45 K_46 K_47 K_48 K_49 K_50
4386_2#9 2 2 2 2 2 5 5 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 24 24 25 26 26 27 28 29 30 30 31 32 33 34
4386_5#1 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
4386_5#10 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
4386_5#12 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4386_5#2 2 2 2 2 2 5 5 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 24 24 25 26 26 27 28 29 30 30 31 32 33 34
4386_5#4 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
4386_5#5 1 3 3 4 4 4 8 9 10 11 12 12 13 13 14 15 15 15 15 15 15 15 15 15 15 15 15 16 16 17 18 19 20 21 21 21 21 22 22 22 22 22 23 24 24 25 26 27 28
4386_5#6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4386_5#7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4386_5#8 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 10 11 11 12 12 13 13 13 13 13 13 13 13 13 13 13 14 15 15 16 17 18 18
4386_6#1 2 2 2 2 2 5 5 6 6 6 8 8 8 8 8 8 8 8 8 8 8 18 18 18 18 18 18 19 19 20 21 22 23 24 24 25 25 26 27 27 28 29 30 31 31 32 33 34 35
4386_6#10 1 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 17 17 17 17 17 17 25 25 26 27 28 29 29 30 31 32 33
4386_6#11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4
4386_6#12 2 2 2 2 2 5 5 6 6 6 8 8 8 8 8 8 8 18 18 18 18 19 19 19 19 19 19 20 20 21 22 23 24 25 25 26 26 27 28 28 29 30 31 32 32 33 34 35 36
4386_6#2 1 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 17 17 17 17 17 17 17 17 17 17 18 19 19 20 21 22 22
4386_6#3 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_6#4 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_6#5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4386_6#6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4
4386_6#7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
4386_6#8 2 2 2 2 2 5 5 6 6 6 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 11 11 12 12 12 12 12 12 12 12 12 12 12 13 13 13 14 15 16 16
4386_6#9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 13 14 14 14 14 14 14 14 14 14 14 14 14 15 15 16 16 17 18 18 18 18 18 18 18 18 18 18 19 20 20 21 22 23 24
4386_7#1 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_7#10 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 10 11 11 12 12 13 13 13 13 13 13 13 13 13 13 13 14 15 15 16 17 18 18
4386_7#11 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_7#12 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_7#2 2 2 4 5 5 6 6 7 8 8 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 20 20 21 21 22 23 24 25 26 26 27 27 28 29 29 30 31 32 33 33 34 35 36 37
4386_7#3 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 17 18 19 19 19 19 19 20 20 20 20 20 21 22 22 23 24 25 26
4386_7#4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 14 15 15
