Isolates,Level 1
6630_3#15_S_pneumoniae_Spanish_23F.dna,29
6630_3#16_S_pneumoniae_Spanish_23F.dna,32
6630_3#17_S_pneumoniae_Spanish_23F.dna,27
6630_3#18_S_pneumoniae_Spanish_23F.dna,20
6630_3#19_S_pneumoniae_Spanish_23F.dna,5
6630_3#1_S_pneumoniae_Spanish_23F.dna,18
6630_3#20_S_pneumoniae_Spanish_23F.dna,9
6630_3#21_S_pneumoniae_Spanish_23F.dna,29
6630_3#22_S_pneumoniae_Spanish_23F.dna,13
6630_3#23_S_pneumoniae_Spanish_23F.dna,27
6630_3#24_S_pneumoniae_Spanish_23F.dna,14
6630_3#2_S_pneumoniae_Spanish_23F.dna,18
6630_3#3_S_pneumoniae_Spanish_23F.dna,13
6630_3#4_S_pneumoniae_Spanish_23F.dna,32
6630_3#5_S_pneumoniae_Spanish_23F.dna,6
6630_3#6_S_pneumoniae_Spanish_23F.dna,13
6630_3#7_S_pneumoniae_Spanish_23F.dna,14
6630_3#8_S_pneumoniae_Spanish_23F.dna,14
6630_3#9_S_pneumoniae_Spanish_23F.dna,14
6630_4#10_S_pneumoniae_Spanish_23F.dna,12
6630_4#11_S_pneumoniae_Spanish_23F.dna,30
6630_4#12_S_pneumoniae_Spanish_23F.dna,26
6630_4#13_S_pneumoniae_Spanish_23F.dna,2
6630_4#14_S_pneumoniae_Spanish_23F.dna,13
6630_4#15_S_pneumoniae_Spanish_23F.dna,21
6630_4#16_S_pneumoniae_Spanish_23F.dna,31
6630_4#17_S_pneumoniae_Spanish_23F.dna,21
6630_4#18_S_pneumoniae_Spanish_23F.dna,22
6630_4#19_S_pneumoniae_Spanish_23F.dna,19
6630_4#1_S_pneumoniae_Spanish_23F.dna,29
6630_4#20_S_pneumoniae_Spanish_23F.dna,19
6630_4#21_S_pneumoniae_Spanish_23F.dna,30
6630_4#22_S_pneumoniae_Spanish_23F.dna,6
6630_4#23_S_pneumoniae_Spanish_23F.dna,27
6630_4#24_S_pneumoniae_Spanish_23F.dna,22
6630_4#2_S_pneumoniae_Spanish_23F.dna,3
6630_4#3_S_pneumoniae_Spanish_23F.dna,8
6630_4#4_S_pneumoniae_Spanish_23F.dna,29
6630_4#5_S_pneumoniae_Spanish_23F.dna,27
6630_4#6_S_pneumoniae_Spanish_23F.dna,31
6630_4#7_S_pneumoniae_Spanish_23F.dna,19
6630_4#8_S_pneumoniae_Spanish_23F.dna,21
6630_4#9_S_pneumoniae_Spanish_23F.dna,18
6631_1#10_S_pneumoniae_Spanish_23F.dna,29
6631_1#11_S_pneumoniae_Spanish_23F.dna,27
6631_1#12_S_pneumoniae_Spanish_23F.dna,27
6631_1#13_S_pneumoniae_Spanish_23F.dna,24
6631_1#14_S_pneumoniae_Spanish_23F.dna,17
6631_1#15_S_pneumoniae_Spanish_23F.dna,29
6631_1#16_S_pneumoniae_Spanish_23F.dna,31
6631_1#17_S_pneumoniae_Spanish_23F.dna,21
6631_1#18_S_pneumoniae_Spanish_23F.dna,15
6631_1#19_S_pneumoniae_Spanish_23F.dna,31
6631_1#1_S_pneumoniae_Spanish_23F.dna,29
6631_1#20_S_pneumoniae_Spanish_23F.dna,8
6631_1#21_S_pneumoniae_Spanish_23F.dna,25
6631_1#22_S_pneumoniae_Spanish_23F.dna,19
6631_1#23_S_pneumoniae_Spanish_23F.dna,18
6631_1#24_S_pneumoniae_Spanish_23F.dna,31
6631_1#2_S_pneumoniae_Spanish_23F.dna,27
6631_1#3_S_pneumoniae_Spanish_23F.dna,14
