Isolates,Level 1,Level 2
11657_6#31,24,90
11657_6#32,17,55
11657_6#33,8,23
11657_6#34,5,17
11657_6#35,18,57
11657_6#36,18,63
11657_6#37,19,65
11657_6#38,20,71
11657_6#39,2,7
11657_6#4,2,7
11657_6#40,9,26
11657_6#41,22,82
11657_6#42,23,84
11657_6#43,3,10
11657_6#44,3,9
11657_6#45,18,63
11657_6#46,20,71
11657_6#47,19,67
11657_6#48,20,71
11657_6#49,18,60
11657_6#5,10,27
11657_6#50,18,61
11657_6#51,19,65
11657_6#52,20,72
11657_6#53,18,59
11657_6#54,16,52
11657_6#55,11,32
11657_6#56,20,71
11657_6#57,1,2
11657_6#58,18,60
11657_6#59,15,47
11657_6#6,18,61
11657_6#60,1,2
11657_6#61,24,89
11657_6#62,9,25
11657_6#63,19,65
11657_6#64,19,65
11657_6#65,19,65
11657_6#66,17,54
11657_6#67,19,65
11657_6#68,1,2
11657_6#69,5,17
11657_6#7,19,66
11657_6#70,4,11
11657_6#71,18,64
11657_6#72,19,65
11657_6#73,20,70
11657_6#74,16,52
11657_6#75,8,23
11657_6#76,17,54
11657_6#77,16,49
11657_6#78,20,71
11657_6#79,20,72
11657_6#8,20,71
11657_6#80,20,71
11657_6#81,20,71
11657_6#82,18,60
11657_6#83,4,12
11657_6#84,3,9
11657_6#85,18,59
11657_6#86,18,63
11657_6#87,20,68
11657_6#88,3,9
11657_6#89,7,21
11657_6#9,21,77
11657_6#90,1,2
11657_6#91,19,65
11657_6#92,15,47
11657_6#93,8,23
11657_6#94,19,65
11657_6#95,18,61
11657_6#96,19,66
11657_7#1,20,71
11657_7#10,4,11
11657_7#11,20,71
11657_7#12,19,65
11657_7#13,8,23
11657_7#14,23,86
11657_7#15,17,55
11657_7#16,18,60
11657_7#17,20,72
11657_7#18,23,86
11657_7#19,4,13
11657_7#2,18,61
11657_7#20,20,71
11657_7#21,19,65
11657_7#22,19,65
11657_7#23,19,65
11657_7#24,21,77
11657_7#25,20,70
11657_7#26,20,70
11657_7#27,9,26
11657_7#28,18,58
11657_7#29,23,83
11657_7#3,2,6
11657_7#30,15,47
11657_7#31,10,27
11657_7#32,6,19
11657_7#33,20,70
11657_7#34,1,2
11657_7#35,1,2
11657_7#36,12,35
11657_7#37,16,51
11657_7#38,23,86
11657_7#39,3,10
11657_7#4,20,71
11657_7#40,18,61
11657_7#41,2,7
11657_7#42,16,48
11657_7#43,15,47
11657_7#44,20,71
11657_7#45,7,21
11657_7#46,2,4
11657_7#47,19,65
11657_7#48,20,71
11657_7#49,18,63
11657_7#5,5,17
11657_7#50,18,59
11657_7#51,17,54
11657_7#52,19,65
11657_7#53,19,65
11657_7#54,19,65
11657_7#55,19,65
11657_7#56,19,65
11657_7#57,19,65
11657_7#58,19,65
11657_7#59,19,65
11657_7#6,22,82
11657_7#60,20,70
11657_7#61,20,71
11657_7#62,18,61
11657_7#63,13,37
