Isolates,Level 1,Level 2
J0004_2014-09-28,3,8
J0005_2014-09-26,3,9
J0006_2014-09-28,3,8
J0007_2014-09-27,3,9
J0008_2014-09-29,3,9
J0009_2014-09-28,3,9
J0010_2014-09-28,3,9
J0011_2014-09-29,3,9
J0012_2014-09-29,3,9
J0013_2014-09-28,3,9
J0014_2014-09-29,3,9
J0015_2014-09-26,3,9
J0016_2014-09-30,3,9
J0017_2014-09-26,3,9
J0018_2014-09-30,3,9
J0019_2014-09-25,3,9
J0020_2014-09-25,3,9
J0021_2014-09-29,3,9
J0022_2014-09-25,3,9
J0023_2014-10-01,3,9
J0024_2014-09-29,3,9
J0025_2014-10-02,3,8
J0026_2014-10-02,3,8
J0027_2014-10-02,3,9
J0028_2014-10-02,3,9
J0029_2014-09-29,3,9
J0030_2014-10-03,3,9
J0031_2014-10-03,3,9
J0032_2014-09-30,3,8
J0033_2014-10-03,3,8
J0034_2014-09-30,3,9
J0035_2014-10-01,3,8
J0036_2014-10-03,3,8
J0037_2014-10-03,3,9
J0038_2014-09-30,3,8
J0039_2014-10-03,5,16
J0040_2014-10-04,3,8
J0041_2014-10-04,3,9
J0042_2014-10-04,3,9
J0043_2014-10-04,5,12
J0044_2014-10-05,3,9
J0045_2014-10-05,3,8
J0046_2014-10-07,3,8
J0047_2014-10-05,3,9
J0048_2014-10-05,3,8
J0049_2014-10-07,3,9
J0050_2014-10-05,3,9
J0051_2014-10-07,3,9
J0052_2014-10-08,3,9
J0053_2014-10-06,3,9
J0054_2014-10-06,3,9
J0055_2014-10-06,3,9
J0056_2014-10-08,3,8
J0057_2014-10-05,3,8
J0058_2014-10-08,3,8
J0059_2014-10-08,3,9
J0060_2014-10-06,3,9
J0061_2014-10-10,3,9
J0062_2014-10-10,3,9
J0063_2014-10-10,3,9
J0064_2014-10-09,3,8
J0065_2014-10-09,3,9
J0066_2014-10-10,3,9
J0067_2014-10-09,3,9
J0068_2014-10-09,3,8
J0069_2014-10-09,3,8
J0070_2014-10-09,3,8
J0071_2014-10-09,3,8
J0072_2014-10-09,3,8
J0073_2014-10-12,3,9
J0074_2014-10-13,3,8
J0075_2014-10-17,3,9
J0076_2014-10-17,3,8
J0077_2014-10-17,3,9
J0078_2014-10-18,5,14
J0079_2014-10-16,3,8
J0080_2014-10-18,5,12
J0081_2014-10-16,3,8
J0082_2014-10-16,3,8
J0083_2014-10-18,3,8
J0084_2014-10-16,3,8
J0085_2014-10-17,3,8
J0086_2014-10-23,5,14
J0087_2014-10-23,5,14
J0088_2014-10-20,3,8
J0089_2014-10-23,3,9
J0090_2014-10-23,3,9
J0091_2014-10-25,3,8
J0092_2014-10-25,3,9
J0093_2014-10-24,5,12
J0094_2014-10-27,3,9
J0095_2014-10-27,3,8
J0096_2014-10-27,3,9
J0097_2014-10-28,3,8
J0098_2014-10-28,3,8
J0099_2014-10-28,3,9
J0100_2014-10-26,3,8
J0101_2014-10-29,3,8
J0102_2014-10-27,3,8
J0103_2014-10-29,3,8
J0104_2014-10-29,3,8
J0105_2014-10-29,3,8
J0106_2014-10-28,3,8
J0107_2014-10-29,3,8
J0108_2014-10-28,3,8
J0109_2014-10-31,3,9
J0110_2014-10-31,3,8
J0111_2014-10-30,3,8
J0112_2014-10-31,3,9
J0113_2014-10-30,3,9
J0114_2014-10-29,3,9
J0115_2014-10-29,3,9
J0116_2014-10-30,3,8
J0117_2014-10-31,3,8
J0118_2014-10-31,3,8
J0119_2014-10-30,3,8
J0120_2014-10-30,3,8
J0121_2014-10-29,3,9
J0122_2014-10-29,3,8
J0123_2014-11-01,3,9
J0124_2014-11-02,3,9
J0125_2014-10-31,3,8
J0126_2014-10-31,3,8
J0127_2014-10-30,3,8
J0128_2014-10-31,3,8
J0129_2014-11-02,4,10
J0130_2014-11-02,3,9
J0131_2014-10-30,3,9
J0132_2014-11-02,3,9
J0133_2014-10-31,3,8
J0134_2014-10-31,3,9
J0136_2014-11-01,5,12
J0137_2014-11-01,3,9
J0138_2014-11-01,3,8
J0139_2014-10-30,3,8
J0140_2014-10-30,3,9
J0141_2014-11-04,3,8
J0142_2014-11-03,3,9
J0143_2014-11-04,3,9
J0144_2014-11-04,3,9
J0145_2014-11-06,3,8
J0146_2014-11-07,3,9
J0147_2014-11-07,3,9
J0148_2014-11-06,3,8
J0149_2014-11-07,3,9
J0150_2014-11-06,5,16
J0151_2014-11-07,3,9
J0152_2014-11-07,3,8
J0153_2014-11-07,3,9
J0154_2014-11-07,5,16
J0155_2014-11-07,3,8
J0156_2014-11-07,3,9
J0157_2014-11-06,5,16
J0158_2014-11-08,3,8
J0159_2014-11-05,5,16
J0160_2014-11-07,3,8
J0161_2014-11-08,3,8
J0162_2014-11-09,3,9
J0163_2014-11-08,3,9
J0164_2014-11-09,3,9
J0165_2014-11-08,3,8
J0166_2014-11-08,3,9
J0167_2014-11-08,3,9
J0168_2014-11-11,3,8
J0170_2014-11-10,3,8
J0171_2014-11-10,3,9
J0172_2014-11-11,3,9
J0173_2014-11-11,3,9
J0174_2014-11-11,3,9
J0175_2014-11-11,3,9
CDC-NIH-1122_2014-09-16,3,9
CDC-NIH-1650_2014-09-27,3,9
CDC-NIH-2303_2014-10-10,3,9
CDC-NIH-2313_2014-10-10,3,9
CDC-NIH-257_2014-08-27,3,9
CDC-NIH-259_2014-08-27,3,9
CDC-NIH-261_2014-08-27,3,9
CDC-NIH-2984_2014-10-23,3,9
CDC-NIH-3762_2014-11-19,3,9
CDC-NIH-3827_2014-11-23,3,9
CDC-NIH-3832_2014-11-23,3,9
CDC-NIH-3871_2014-11-25,3,9
CDC-NIH-3874_2014-11-25,3,9
CDC-NIH-3878_2014-11-25,3,9
CDC-NIH-595_2014-09-04,3,9
CDC-NIH-603_2014-09-04,3,9
CDC-NIH-683_2014-09-06,3,9
CDC-NIH-686_2014-09-06,3,9
CDC-NIH-708_2014-09-07,3,9
CDC-NIH-710_2014-09-07,3,9
LIBR0008_2014-10-31,3,9
